"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Link","Open access resource","PDF","Summary","Key Points","Focus Region","State","Resource Type","Original date of report publishing","Date of Accessing Resource","Issuing body","Name of the Issuing body","Published Date","lastActivity.date"
"Riverbed Mining 2022: Judiciary tries but fails to bring effective change | SANDRP","https://sandrp.in/2023/02/03/riverbed-mining-2022-judiciary-tries-but-fails-to-bring-effective-change/","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F56266d9b-234e-4314-a174-8eafa2f67690.pdf?generation=1698748993314170&alt=media","This article from SANDRP - South Asia Network on Dams, Rivers and People, highlights efforts by the judiciary towards addressing the issue of riverbed mining in India, and how these efforts, while well intentioned, might be falling short.


""Judiciary has been striving to remedy the lawless situation currently dominating riverbed mining in India. The year 2022 has been full of court cases and orders dealing with unsustainable and illegal riverbed mining operations. In this yearend overview, we have reported top ten judicial interventions to control exploitative minor mineral mining by various state governments and to make the regulators accountable against the illegalities & violations.""","Here are the 10 judicial interventions by courts that are mentioned in the article: 
  
 NGT questions changes to EC rules 
 Uttarakhand - Classification of rivers to set up stone crushers illegal: NGT 
 Uttar Pradesh Replenishment study of riverbed sand must for sand mining: NGT 
 Goa Explain unabated illegal sand mining in Tiracol River: HC 
 Karnataka NGT bans use of heavy machinery for sand mining in river bed 
 Odisha NHAI, contractor, supplier have joint liability in road construction 
 Meghalaya NGT needs to broaden proceedings against illegal sand-mining: HC 
 Punjab HC bans mining across Ravi in Pathankot, Gurdaspur 
 Maharashtra HC stops govt from giving sand mining contract on Savitri  
 Jammu & Kashmir NGT questions clearances; halts mining at Shaliganga","India ","N/A","Analysis","03-02-2023 18:30:00","31-10-2023 18:30:00","Civil society / NGO","SANDRP","31-10-2023","N/A"
"Impact of sand mining on local ecology","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=a9123a9a40f44e043a0ecc178bc0eee40cadca23#page=111","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fe0c50897-50f7-4ccd-b107-9822721658e0.pdf?generation=1699959169239000&alt=media","A review of sand mining activity, rules and regulations, and the resulting environmental issues related to sand mining primarily affecting coastal erosion, river bank, land-use change, water, and biodiversity in Goa.","Before granting license, it is necessary to carry out a study to investigate the total volume of the sand, investigate the long-term sustainable level of near-shore extraction, establish a sediment budget and quantify sediment transport, investigate adverse effects, if any, on the local ecology.","Regional","Goa","Research paper","01-01-2006 18:30:00","14-11-2023 18:30:00","Government","The Energy & Resources Institute (TERI)","15-11-2023","N/A"
"Sand Mining: The World Scenario","https://link.springer.com/chapter/10.1007/978-94-017-9144-1_5","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F21847540-b007-4f07-b720-47e2fe1dc600.pdf?generation=1700028340625606&alt=media","This chapter deals with a brief account of the environmental

effects of river sand mining reported from different parts of the world like Arizona,

Italy, Kenya, Jamaica and Costa Rica, Malaysia, China, Sri Lanka, Nepal, Maldives

and India.","River sand mining is widespread in most of the developing and developed countries. Of the different types of fluvial systems, small rivers (catchment area\10,000 km2 ) are the worst affected due to indiscriminate sand mining than large rivers as the area available for dissipation of negative externalities is low in small river basins.","Global ","N/A","Research paper","01-01-2014 18:30:00","15-11-2023 18:30:00","Other","Springer","15-11-2023","N/A"
"Minor Mineral, Major Menace: Decoding the Socio-Political Landscape of Sand Mining in Andhra Pradesh","https://veditum.org/2023/11/22/status-report-sand-mining-andhra-pradesh-isw/","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fandhra_pradesh_socio_political_landscape_of_sand_mining_india_sand_watch_782a02d0-84e3-4787-b0d7-bae80d5bd462.pdf?generation=1703325104278234&alt=media","This is a detailed report by India Sand Watch / Veditum India Foundation, looking at the state of sand mining in the state of Andhra Pradesh.


It offers some inferences and highlights gaps and challenges in data availability, policy implementation and the methods used for preparation of survey reports etc.","Below listed are the concluding remarks offered by the author. 
  
 The Sand Deficit and Government’s Development Agenda: The push for urban development and economic growth is leading to a high demand for sand. However, this excessive demand is leading to  a deficit in the state despite being endowed with rich riverine systems and river sand aplenty. There are concerns that in an attempt to meet the increasing sand demand, the government may be flouting rules and regulations related to sand mining, leading to environmental and social consequences. 
 De-siltation Activities and their Reality: While de-siltation activities are carried out as part of infrastructure (dams, barrages, etc)  maintenance, there are concerns about the scale and impact of such activities. Critics, such as former power secretary of state EAS Sarma, argue that some de-siltation projects may serve as a cover for sand mining, leading to environmental degradation and displacement of communities residing in and around riverbanks. [19]

The Chitale committee, which was constituted in July 2016 by the Ministry of Water Resources River Development and Ganga Rejuvenation to prepare guidelines for desiltation of river Ganga from Bhimgauda (Uttarakhand) to Farakka (West Bengal), found in their report that “De-siltation per se, has no relation with ecology and/or environmental flow in the river. At best, de-siltation, if carried out properly, would improve hydraulic performance of the river, and thereby, may contribute towards betterment of ecology. Generally, de-siltation works do more harm to ecology and environment flow, which has compelled Hon’ble Supreme Court and National Green Tribunal to pronounce judgment making environment impact assessment and clearance mandatory for sand mining / de-siltation works.”  [20] 
 Party Politics and its Impact on Sand Management: The issue of sand management has become politically charged. Gaps and lack of transparency when it comes to revenue could translate into competitive advantage for one party over others. This could further complicate effective policy implementation and exacerbate the challenges associated with the sand deficit. 
 JP Venture’s Unpaid Bills: Sand contractors in Andhra Pradesh have expressed their anger towards the State government due to the accumulation of unpaid bills. The contractors, who have been supplying sand for the past two years through JP Ventures Limited, staged a protest at the APMDC building in Amaravati in March of this year. They demanded immediate payment of their bills, warning that they might resort to extreme measures, including suicide, if the government failed to respond.The contractors accused JP Ventures of withholding payments, creating financial difficulties for both the government and themselves. The company’s financial results from 2023 also mention this gap. [21][22] 
  
 The complex landscape of sand deficit in Andhra Pradesh demands a holistic approach from the government and policymakers especially in the run up to 2024 as the new capital’s furnishing becomes more pertinent. Balancing rapid development with sustainable sand management practices is crucial to ensure the protection of valuable resources, environmental conservation, and the well-being of communities dependent on the land. 
 It is essential for the state to prioritize the long-term benefits of sustainable sand management over short-term gains to safeguard its future prosperity.","Regional","Andhra Pradesh","Analysis","22-11-2023 18:30:00","23-12-2023 18:30:00","Civil society / NGO","India Sand Watch - Veditum","23-12-2023","N/A"
"Decoding Chambal River Shoreline Transformations: A Comprehensive Analysis Using Remote Sensing, GIS, and DSAS","https://doi.org/10.3390/w15091793","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fsingh_etal_2023_decodingchambalshorelinetransformations_remotesensinggisdsas_38c97437-9cd3-4d59-9fae-3ee634b24521.pdf?generation=1705059611515155&alt=media"," Illegal sand mining has been identified as a significant cause of harm to riverbanks, as it leads to excessive removal of sand from rivers and negatively impacts river shorelines. This investigation aimed to identify instances of shoreline erosion and accretion at illegal sand mining sites along the Chambal River. These sites were selected based on a report submitted by the Director of the National Chambal Sanctuary (NCS) to the National Green Tribunal (NGT) of India. The digital shoreline analysis system (DSAS v5.1) was used during the elapsed period from 1990 to 2020. Three statistical parameters used in DSAS—the shoreline change envelope (SCE), endpoint rate (EPR), and net shoreline movement (NSM)—quantify the rates of shoreline changes in the form of erosion and accretion patterns. To carry out this study, Landsat imagery data (T.M., ETM+, and OLI) and Sentinel-2A/MSI from 1990 to 2020 were used to analyze river shoreline erosion and accretion. The normalized difference water index (NDWI) and modified normalized difference water index (MNDWI) were used to detect riverbanks in satellite images. The investigation results indicated that erosion was observed at all illegal mining sites, with the highest erosion rate of 1.26 m/year at the Sewarpali site. On the other hand, the highest accretion was identified at the Chandilpura site, with a rate of 0.63 m/year. We observed significant changes in river shorelines at illegal mining and unmined sites. Erosion and accretion at unmined sites are recorded at −0.18 m/year and 0.19 m/year, respectively, which are minor compared to mining sites. This study’s findings on the effects of illegal sand mining on river shorelines will be helpful in the sustainable management and conservation of river ecosystems. These results can also help to develop and implement river sand mining policies that protect river ecosystems from the long-term effects of illegal sand mining.
","Chambal River, illegal sand mining; riverbank erosion; riverbank accretion; Digital Shoreline Analysis System (DSAS) ","Regional","N/A","Research paper","07-05-2023 18:30:00","01-06-2023 18:30:00","Other","Water","12-01-2024","N/A"
"Threats of Sand Mining on the nesting of Turtles and Gharial in the National Chambal Sanctuary, Madhya Pradesh","https://www.mpforest.gov.in/mpsbb/completedProject/TSM.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Ftsm_taigor_and_rao_chambal_7c21410d-2ba8-4204-b4b8-4aa02537c9bc.pdf?generation=1705132647283692&alt=media","A thorough survey of sand mining sites and their impacts on turtles and gharial nesting areas in National Chambal Sanctuary, India","The report identifies sites of sand mining along the National Chambal Sanctuary from 1984 to 2006. Very useful timeline and site-level detailed information is provided in the report.","Regional","Madhya Pradesh","Research paper","01-01-2007 18:30:00","13-01-2024 18:30:00","Other","Researchers of Jiwaji University Gwalior","13-01-2024","N/A"
"DISTRIBUTION AND STATUS OF THE SMOOTH-COATED OTTER Lutra perspicillata IN NATIONAL CHAMBAL SANCTUARY, INDIA","https://otter.nus.edu.sg/biblio/hussain1997-lp-statuschambal.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fhussain1997_lp_statuschambal_959dcbc3-14df-4dfb-b17e-bfe6fe1040d2.pdf?generation=1705134299738108&alt=media","In this research paper on Otters, Hussain and Choudhary (on pg. 204) of the journal Biological Conservation mention specific sand mining and stone quarry sites along the Chambal. ","Sand mining and stone quarry sites along National Chambal Sanctuary: locations from surveys conducted from 1988 to 1992.","Regional","Madhya Pradesh","Research paper","01-01-1997 18:30:00","13-01-2024 18:30:00","Other","Biological Conservation Journal","13-01-2024","N/A"
"ANTHROPOGENIC THREATS IN THE NATIONAL  CHAMBAL SANCTUARY, MADHYA PRADESH, INDIA","https://d1wqtxts1xzle7.cloudfront.net/99430228/Anthropogenic_therats_in_chambal_Tiger_Paper_2010-libre.pdf?1677999545=&response-content-disposition=inline%3B+filename%3DAnthropogenic_threats_in_the_National_Ch.pdf&Expires=1705137553&Signature=XvO4q8S6DYJ8eyXMdwO8L39zYTKElZRZP8vsVsqWOE3PVJrbB9ROvXoNXqPxICPKnFQ-kycm2kg-oJ1nRz84w4vUbFjs66RbIRrYZ46MXMy6dCT1b2-LkAY-wzwjv5Ncu1Zu~Awc-Ydu58uPxXGfUrlwdh8o63uuTXC36fEdfq0a9kvzCd~DqTst~imcjCZBMlkk5ejXrQsrDRfbi544zRlkTay7IsJvABMBe7d2o4B0Ke736SGmMN9QfbzP-OtM8iKAhr2Cypv6UW2jtRY0~zoYbMgXcVcKoXnRpQbIfU5TBDTf~w912gVBg9ejoyi8n1zux5Dedp0UawpG~3lLhA__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fanthropogenic_threats_in_the_ncs_32e832dc-da6a-46c9-be10-2613c02146ce.pdf?generation=1705134806778489&alt=media","Article by Taigor and Rao in Tiger Paper.","Sand mining locations along the National Chambal Sanctuary as of 2006-07 have been listed in pg. 27 of this article ","Regional","Madhya Pradesh","Research paper","01-02-2010 18:30:00","13-01-2024 18:30:00","Other","Researchers of Jiwaji University Gwalior","13-01-2024","N/A"
"INNOVATIVE TECHNOLOGIES TO ADDRESS THE RESOURCE CURSE: A CASE STUDY OF ILLEGAL SAND MINING IN MADHYA PRADESH INDIA","https://www.researchgate.net/publication/336677374_INNOVATIVE_TECHNOLOGIES_TO_ADDRESS_THE_RESOURCE_CURSE_A_CASE_STUDY_OF_ILLEGAL_SAND_MINING_IN_MADHYA_PRADESH_INDIA","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fupadhyay_setubandh_mathesisfinal_25512862-a2d0-446f-8292-7ad007d0b630.pdf?generation=1705142634085015&alt=media","The resource curse thesis argues that regions with an abundance of natural resources are likely to be underdeveloped. The idea took shape in the 1980s, but since then the technology has made pronounced strides and has presented solutions to several of the global challenges while contributing to human development. This thesis explores the question of whether this leap in the development of innovative technologies can be deployed in such a way that the resource curse becomes a thing of the past. Sand being highest extracted natural resource only second to water has become a visible exhibit of the resource curse in developing regions. The thesis examines a case study to explore this argument, a case study of illegal sand mining in Madhya Pradesh state of central India, examining the case from a policy perspective considering its implications. The implications are not only environmental but also have long term socio-economic consequences, which are ticking bombs in the form of generational poverty and unsustainable development. The thesis explores the potential technological solutions and their use as policy interventions as initial steps to solve the problem are discussed, keeping in mind their viability and applicability to this particular case while exploring if the solutions are replicable for other resources","Paper explores the concept of resource curse where the hypothesis is that regions with more resources tend to be underdeveloped  
 Paper argues that deployment of technology can reverse the resource curse 
 Case study of illegal mining in MP","India ","N/A","Research paper","01-08-2019 18:30:00","13-01-2024 18:30:00","Other","Central European University","13-01-2024","N/A"
"193 dead in River Sand Mining incidents in India in 2019-20","https://sandrp.in/2020/11/22/193-dead-in-river-sand-mining-incidents-in-india-in-2019-20/","Yes","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F193_dead_in_river_sand_mining_incidents_in_india_in_2019_20_sandrp_89ff96c7-8eb9-4b0c-8e10-5c9961369b03.pdf?generation=1719659812080715&alt=media","SANDRP in its 2018 overview, could compile 28 human fatalities due to illegal sand mining operations. However that was only based on the news reports that came to our notice, the actual death toll would be much higher. SANDRP this time has prepared a more detailed account of violent incidents that have taken place since January 2019 so far causing human death and injuries.","The state and zone wise brief summary of incidences of violence have been given here.","India ","N/A","Analysis","22-11-2020 18:30:00","29-06-2024 18:30:00","Civil society / NGO","SANDRP","29-06-2024","29-06-2024"
"The environmental impacts of river sand mining","https://doi.org/10.1016/j.scitotenv.2022.155877","Yes","N/A","The demand for construction-grade sand is growing at a tremendous rate and the world is expected to run out of this resource by 2050. Construction-grade sand, hereafter referred to as ‘sand’, can be found in (former) aquatic environments, such as rivers and is a provisioning ecosystem service. Even under controlled circumstances, the practice of extracting the sand from the riverbed and -banks impacts the environment. Unfortunately, many countries lack sand mining regulation policies and in combination with a high demand, this results in indiscriminate and illegal mining. To create effective policies for sustainable extraction of river sand, there is a need for both qualitative and quantitative data on the effects of river sand mining. This paper brings together the effects of river sand mining on the physical, biological, chemical, and anthropogenic environment through a systematic literature review. The effects found are widespread and often cumulative. In the physical environment, the primary effects are riverbed widening and lowering. In the biological environment, the overarching effect is a reduced biodiversity and stretches from the aquatic and shoreline flora and fauna to the whole floodplain area. The effects on the chemical environment are a reduced water, air and soil quality through pollution. The effects on the anthropogenic environment comprise of damaged infrastructure, bad working circumstances for workers, limited access to water and agricultural losses. The findings of this research emphasize the complexity and cascading nature of the effects of river sand mining, as well as the severity and urgency of the problem. Based on the effects found and the four environments, a set of guidelines are proposed at the end of this paper to be used for global agenda making regarding sustainable sand extraction. Future research should prioritise quantifying the observed effects and developing science-based policies for sustainable mining.e","The increasing demand for construction-grade sand is a worldwide environmental issue. 
 •The type of extraction influences the magnitude of the impact on the environment. 
 •Effects are found on the physical, biological, chemical and anthropogenic environment. 
 •Effects are often widespread and cumulative and therefore hard to quantify. 
 •Development of science-based policies for sustainable mining should be prioritised.","Global ","N/A","Research paper","19-05-2022 18:30:00","01-01-2023 18:30:00","Other","Science of The Total Environment","13-10-2024","13-10-2024"
"Sand Mining Deaths & Violence in South India between April 2022 and February 2023 ","https://sandrp.in/wp-content/uploads/2023/03/2023-sand-mining-death-violence-in-south-india.pdf","Yes","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F2023_sand_mining_death_violence_in_south_india_65c95606-e40c-48c8-8f8a-4a31b1e5e328.pdf?generation=1729937478517542&alt=media","A tabular report on unnatural deaths and violence caused by sand mining – wholly or by extension. The report largely covers deaths caused by accidents involving trucks carrying sand, threats or violence – including one murder – against those opposed to sand mining, and deaths of workers involved in sand mining","1. Several avoidable deaths of miners during the sand mining process 
 2. Those opposing sand mining face ","Regional","Kerala","Guideline","01-01-2024 18:30:00","26-10-2024 18:30:00","Civil society / NGO","SANDRP","26-10-2024","24-01-2025"
"Sand Mining Framework, 2018","https://www.fedmin.com/fedmin/sandminingframework.pdf","Yes","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fsandminingframework260318_d5706a17-bf68-4ff5-955f-0e59e57bffc9.pdf?generation=1733979240769928&alt=media","It used to be open-access but link currently not available on government website, found the URL on website of Federation of Indian Mineral Industries.

The framework developed is a set of guidelines by the Ministry of Mines for identification of sand resources, clearances and allocation of sand mines, sale of sand, transport and monitoring. As part of developing framework, they studied supply-demand and gap estimation, policies and practices around sand mining, transport and sale models from different states of the country.","While the decribed objective of the report for understanding sand mining through a framework seems valid, there were multiple aspects that were either missed, or analysed from a limited viewig point. Highlighting some of these points: 
 Under 'Section 4.5 Illegal Mining', illegal sand mining is defined as mining from un-notified areas, and over-mining than the permitted limits. This is after permissions have been given, but there is not mention if the permissions and clearances given followed the laws and guidelines. (So many illegalities happen before and during the process of allotment, which are not accounted for in the report) 
 '5.7.1 Suggestions for faster clearances – delegations of power to DEIAA/SEIAA' - The report suggests doubling the categories for clearances by sand mines' areas for ""faster environmental clearance"". The suggestion is that 0-10Ha for DEIAA (currently 0-5Ha), 10-100 Ha for SEIAA (currently 5-50Ha) and >=100 for MoEFCC (currently >=50Ha). This suggestion would only ease out the clearance processes, which currently is already loose coupled with weak monitoring. 
 '5.7.1 Suggestions for faster clearances – delegations of power to DEIAA/SEIAA' - The report suggests creating more than 1 SEIAA for densely populated states, dense urban centers, and districts far from state capital for ""faster environmental clearance"". Faster clearances should not be a criteria, rather ensuring environmental conservation, bio-diversity protection, health and livelihoods of riparian communities should be in focus - which is missing in the framework. 
 The report suggests mechanised mining can take place for stream order IV, V, nd above. But for stream order I, II and III, sand can only be mined manually. 
 '4.1.3 Identification' mentions Gujarat state has prepared district wise geological reports with potential areas of the quarry lease are identified and demarcated using DGPS and topographic and geological maps. However, the DSRs (that were in the process of finalisation at the time of this report's publishing), of Gujarat's districts do not mention the geocordinates of proposed mines. 
 The report analyses M-Sand, its feasibility as an alternative to sand for constrution, but does not mention if the demand for sand can be reduced by sustainable and proper city planning. M-Sand is also a version of resource extraction. 
 '5.11 Monitoring' - suggests at monitoring at 4 levels - (i) Stockyard (ii) Transport (iii) Consumer end (iv) Indirect monitoring. However, it misses suggesting guidelines for monitoring at the sand mine level, and monitoring if there were any violations in the environmental clearance process.","India ","N/A","Guideline","31-03-2018 18:30:00","12-12-2024 18:30:00","Government","Ministry of Mines","13-12-2024","13-12-2024"
"Odisha Lawyer Sankar Prasad Pani Interview: Citizen Monitoring Key to Improve Riverbed Mining Governance | SANDRP - 9th May 2025","https://sandrp.in/2025/05/09/odisha-lawyer-sankar-prasad-pani-interview-citizen-monitoring-key-to-improve-riverbed-mining-governance/","Yes","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fodisha_lawyer_sankar_prasad_pani_interview_citizen_monitoring_key_to_improve_riverbed_mining_governance_sandrp_d5d46fa5-568b-4a74-a331-5684b4a25126.pdf?generation=1747283625535638&alt=media","In this interview of Odisha Lawyer Sankar Prasad Pani by Bhim Singh Rawat of SANDRP, the lawyer discusses the various challenges associated with the river sand mining sector in Odisha particularly. 


The efforts of the lawyer have been highlighted in various cases towards the protection of rivers in Odisha. The interview also highlights the various gaps that continue to exist in the governance in this sector, as well as the role of the judiciary and citizens.","Mechanised mining continues in both small and big rivers of Odisha. 
 As of May 2025, DSRs for districts in Odisha have not been available for a few years. Mining is continuing under the old ECs. 
 That the mining process is getting centralised instead of being decentralised  
 That SEIAA and DEIAA do not have adequate capacity & efficiency in operations. 
 There is consistent violation of terms & conditions laid out in the EC 
 Follow up surveys after preparation of District Survey Reports are not being carried out. 
 Interim DSRs are being used illegally for alotment and mining purposes 
 While technological tools are available, they are not necessarily being used for proper interventions, compliance monitoring etc 
 There seems to be an issues of departments (like the pollution control boards) not taking a stand against illegal activity and impacts. 
 Fines and actions on illegal activity are missing. 
 District Mineral Funds (DMFs) are not being used approporpirately, and there is no separation of funds contributed via minor minerals. 
 Implementation of official and judicial orders continues to be the most difficult task.","Regional","Odisha","Analysis","09-05-2025 18:30:00","15-05-2025 18:30:00","Civil society / NGO","SANDRP","15-05-2025","15-05-2025"
"Reforms related to Mining Sector  under EIA regime","https://mines.gov.in/admin/storage/ckeditor/DAY_2_PPT_16_1737544745.pdf","Yes","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fday_2_ppt_16_1737544745_3_3172efc5-dcdb-41fd-a23f-3d4c7762d68e.pdf?generation=1751383258822043&alt=media","The document is a comprehensive presentation by the Ministry of Environment, Forest and Climate Change, Government of India, delivered on 21st January 2025 at Konark, Odisha. It details the Environmental Impact Assessment (EIA) regulatory framework as it applies to the mining sector - including sand mining, recent reforms including e-governance via PARIVESH, decentralization of environmental clearance (EC) processes, EC validity extension, post-clearance compliance monitoring, sand mining guidelines, and the importance of sustainable and responsible mining practices.","EIA Notification 2006 and its application to mining activities. 
 Categorization of mining projects into Category A, B1, B2 with differing EC procedures. 
 Digital reforms through the PARIVESH portal for faster and transparent EC processing. 
 Decentralization of EC powers to SEIAAs, increasing area limits for delegated approvals. 
 Validity of ECs extended to a maximum of 50 years, based on project life. 
 Streamlining of public hearing process and reduction in procedural delays. 
 Mandatory implementation of Sustainable Sand Mining Guidelines (SSMG 2016) and EMGSM 2020. 
 Emphasis on post-EC monitoring, addressing frequent non-compliances in water, air, OB dump management, and greenbelt development.","India ","N/A","Guideline","21-01-2025 18:30:00","01-07-2025 18:30:00","Government","Ministry of Environment, Forest and Climate Change","16-12-2025","16-12-2025"
"River Sand Mining: A Developing Geohazard in the Himalaya","https://doi.org/10.1007/978-3-031-95083-4_22","No","N/A","Indiscriminate in-channel sand mining leads to serious off-site and onsite impacts on channel morphology and sediment dynamics of rivers. Owing to high sediment flux and the ready availability of gravels and sand, the Himalayan rivers have been exploited for decades. The most observed impacts of in-channel sand mining are channel incision and riverbed coarsening. The former disturbs the equilibrium state of the river, causing erosion downstream, and the latter reduces sediment supply and availability for transport, disrupting longitudinal connectivity. Such effects are now widespread in several Himalayan rivers and considered a major geohazard in this region. Unregulated Sand mining is not just impacting the river channels in terms of channel modifications in the mining stretches but also resulting in cascading effects such as bank erosion, channel incision and flooding in downstream reaches. We provide here a compilation of geomorphic impacts of unregulated sand mining on riverine landscapes that have been documented globally with a special focus on the Himalayan rivers. We have then presented a case study from the Upper Ganga River between Raiwala and Bhogpur in northern India, which has been exploited for gravel and sand for several decades. The Ganga River in this stretch has high sediment flux potential from the tectonically active hinterland, making it suitable for sand mining. We present a hydrogeomorphic approach to study the impact of sand mining on channel morphology and riverine processes of the Upper Ganga River. We use channel belt width, active channel width, and centreline shifts derived from Landsat-based interdecadal planform maps to analyse the impacts on the river channel. We finally present a critical review of the existing sand mining policy in India and some recommendations.","Compilation of geomorphic impacts of unregulated sand mining on riverine landscapes with a special focus on the Himalayan rivers; hydrogeomorphic approach to study the impact of sand mining on channel morphology and riverine processes of the Upper Ganga River; review of existing sand mining policy in India.","Regional","N/A","Research paper","11-10-2025 18:30:00","13-10-2025 18:30:00","Other","Springer","13-10-2025","13-10-2025"
